subject,module,commit,generated_test,focal_method,nd_pass,nd_total,nd_verdict,id_runs,id_verdict,od_verdict,notes
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_expires_109_0_Test#testExpires,com.github.kevinsawicki.http.HttpRequest#expires,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_11_0_Test#testGetMethod,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_11_0_Test#testGetMethodWithInvalidURL,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_11_0_Test#testGetMethodWithMalformedURL,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_13_0_Test#testGetWithEmptyParams,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_13_0_Test#testGetWithEncoding,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_13_0_Test#testGetWithMalformedUrl,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_13_0_Test#testGetWithoutEncoding,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_14_0_Test#testGetWithEncoding,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_get_14_0_Test#testGetWithNoParams,com.github.kevinsawicki.http.HttpRequest#get,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
