test_id,pass,fail,missing,total,verdict
tests/test_pregel.py::test_checkpoint_recovery[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_checkpoint_recovery[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_debug_nested_subgraphs[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_debug_nested_subgraphs[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_debug_nested_subgraphs[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_debug_subgraphs[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_debug_subgraphs[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_debug_subgraphs[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_delta_channel_async_write_ordering,50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_doubly_nested_graph_interrupts[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_doubly_nested_graph_interrupts[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_doubly_nested_graph_interrupts[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_nested[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_nested[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_nested[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_stream_order[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_stream_order[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_stream_order[sqlite_aes-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_task[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_task[sqlite-async],50,0,0,50,NOT_FLAKY
tests/test_pregel.py::test_imp_task[sqlite_aes-async],50,0,0,50,NOT_FLAKY
